PlayerName,Team,Week,FantasyPointsEarned,Position
Drew Brees,NO,1,37.7,qb
Andrew Luck,IND,1,37.4,qb
Alex Smith,KC,1,33.7,qb
Jameis Winston,TB,1,30.4,qb
Matthew Stafford,DET,1,29.5,qb
Ben Roethlisberger,PIT,1,26.8,qb
Matt Ryan,ATL,1,25.7,qb
Aaron Rodgers,GB,1,25.6,qb
Cam Newton,CAR,1,25.1,qb
Marcus Mariota,TEN,1,23.5,qb
Cam Newton,CAR,2,37.4,qb
Matt Ryan,ATL,2,31.8,qb
Ryan Tannehill,MIA,2,31,qb
Tyrod Taylor,BUF,2,29.4,qb
Philip Rivers,SD,2,28,qb
Derek Carr,OAK,2,28,qb
Blake Bortles,JAC,2,27.9,qb
Carson Palmer,ARI,2,27.4,qb
Blaine Gabbert,SF,2,27.2,qb
Ben Roethlisberger,PIT,2,26.4,qb
Jameis Winston,TB,3,33.6,qb
Matthew Stafford,DET,3,32.4,qb
Trevor Siemian,DEN,3,32.1,qb
Drew Brees,NO,3,31.7,qb
Aaron Rodgers,GB,3,28.5,qb
Ryan Tannehill,MIA,3,28.2,qb
Dak Prescott,DAL,3,26,qb
Carson Wentz,PHI,3,24.1,qb
Brian Hoyer,CHI,3,23.6,qb
Kirk Cousins,WAS,3,22.3,qb
Matt Ryan,ATL,4,42.6,qb
Ben Roethlisberger,PIT,4,34.9,qb
Blake Bortles,JAC,4,28,qb
Russell Wilson,SEA,4,27,qb
Derek Carr,OAK,4,25.8,qb
Joe Flacco,BAL,4,25,qb
Philip Rivers,SD,4,24.1,qb
Brian Hoyer,CHI,4,22.8,qb
Case Keenum,LAR,4,22.7,qb
Alex Smith,KC,4,22.6,qb
Ben Roethlisberger,PIT,5,35,qb
Philip Rivers,SD,5,34,qb
Tom Brady,NE,5,33.7,qb
Marcus Mariota,TEN,5,32.2,qb
Brian Hoyer,CHI,5,27.8,qb
Andrew Luck,IND,5,25.4,qb
Derek Carr,OAK,5,25.2,qb
Blaine Gabbert,SF,5,25.1,qb
Andy Dalton,CIN,5,24.9,qb
Matthew Stafford,DET,5,22.6,qb
DeAngelo Williams,PIT,1,29.1,rb
C.J. Anderson,DEN,1,25.9,rb
Spencer Ware,KC,1,25.9,rb
Theo Riddick,DET,1,22.8,rb
Carlos Hyde,SF,1,21.3,rb
DeMarco Murray,TEN,1,19.7,rb
David Johnson,ARI,1,19.2,rb
Ameer Abdullah,DET,1,18,rb
Danny Woodhead,SD,1,18,rb
Melvin Gordon,SD,1,17.7,rb
Matt Forte,NYJ,2,28.9,rb
Isaiah Crowell,CLE,2,20.8,rb
DeAngelo Williams,PIT,2,19.2,rb
LeGarrette Blount,NE,2,18.3,rb
Melvin Gordon,SD,2,18,rb
Giovani Bernard,CIN,2,17.7,rb
Latavius Murray,OAK,2,16.1,rb
Ryan Mathews,PHI,2,15.5,rb
C.J. Anderson,DEN,2,15.3,rb
Ezekiel Elliott,DAL,2,14.7,rb
Tevin Coleman,ATL,3,26.9,rb
Devonta Freeman,ATL,3,26.7,rb
LeSean McCoy,BUF,3,23.6,rb
David Johnson,ARI,3,23.1,rb
Christine Michael,SEA,3,23.1,rb
LeGarrette Blount,NE,3,22.5,rb
Carlos Hyde,SF,3,22.5,rb
Jeremy Hill,CIN,3,21.7,rb
DeMarco Murray,TEN,3,21.5,rb
Todd Gurley,LAR,3,20,rb
DeMarco Murray,TEN,4,23.9,rb
Ezekiel Elliott,DAL,4,21.7,rb
Melvin Gordon,SD,4,19.9,rb
Matt Jones,WAS,4,19.8,rb
Isaiah Crowell,CLE,4,19.4,rb
John Kuhn,NO,4,19.2,rb
Le'Veon Bell,PIT,4,17.8,rb
Terrance West,BAL,4,17.3,rb
LeSean McCoy,BUF,4,16.8,rb
Mark Ingram,NO,4,16.6,rb
David Johnson,ARI,5,30.5,rb
Ezekiel Elliott,DAL,5,29.1,rb
Tevin Coleman,ATL,5,22.3,rb
Jordan Howard,CHI,5,22.3,rb
Cameron Artis-Payne,CAR,5,20.5,rb
Theo Riddick,DET,5,20.2,rb
Devonta Freeman,ATL,5,18.3,rb
Carlos Hyde,SF,5,17.4,rb
Todd Gurley,LAR,5,16.8,rb
Matt Asiata,MIN,5,16.1,rb
Brandin Cooks,NO,1,27.4,wr
Antonio Brown,PIT,1,24.6,wr
A.J. Green,CIN,1,24,wr
Willie Snead,NO,1,23.2,wr
Larry Fitzgerald,ARI,1,20.1,wr
Jordan Matthews,PHI,1,17.4,wr
Will Fuller,HOU,1,16.7,wr
Mike Wallace,BAL,1,16.2,wr
Mike Evans,TB,1,15.9,wr
Doug Baldwin,SEA,1,15.2,wr
Stefon Diggs,MIN,2,24.2,wr
Travis Benjamin,SD,2,23.4,wr
Kelvin Benjamin,CAR,2,22.8,wr
Corey Coleman,CLE,2,22.4,wr
Eric Decker,NYJ,2,18.6,wr
DeAndre Hopkins,HOU,2,17.3,wr
Marquise Goodwin,BUF,2,17.2,wr
Danny Amendola,NE,2,17,wr
Julio Jones,ATL,2,16.6,wr
Mike Wallace,BAL,2,16.1,wr
Marvin Jones,DET,3,32.5,wr
Emmanuel Sanders,DEN,3,23.7,wr
T.Y. Hilton,IND,3,23.4,wr
Terrelle Pryor,CLE,3,22.5,wr
Jordy Nelson,GB,3,22.1,wr
Doug Baldwin,SEA,3,22,wr
Jarvis Landry,MIA,3,19.6,wr
Mike Evans,TB,3,19.2,wr
Allen Robinson,JAC,3,17.7,wr
Tavon Austin,LAR,3,16.4,wr
Julio Jones,ATL,4,36,wr
Michael Crabtree,OAK,4,26.8,wr
A.J. Green,CIN,4,23.3,wr
Brian Quick,LAR,4,18.9,wr
Antonio Brown,PIT,4,18.4,wr
Dontrelle Inman,SD,4,18,wr
Eddie Royal,CHI,4,17.1,wr
Steve Smith,BAL,4,17.1,wr
Demaryius Thomas,DEN,4,15.4,wr
Brandon Marshall,NYJ,4,14.9,wr
Sammie Coates,PIT,5,25.9,wr
T.Y. Hilton,IND,5,23.1,wr
Larry Fitzgerald,ARI,5,20.1,wr
Amari Cooper,OAK,5,19.8,wr
Cameron Meredith,CHI,5,19.6,wr
Brandon LaFell,CIN,5,18.8,wr
Adam Thielen,MIN,5,18.7,wr
Tyrell Williams,SD,5,17.7,wr
Brandon Marshall,NYJ,5,17.4,wr
Jeremy Kerley,SF,5,16.2,wr
Jack Doyle,IND,1,15.5,te
Julius Thomas,JAC,1,12.4,te
Dwayne Allen,IND,1,11.3,te
Eric Ebron,DET,1,10.6,te
Austin Seferian-Jenkins,TB,1,9,te
Larry Donnell,NYG,1,7.5,te
Travis Kelce,KC,1,7.4,te
Vance McDonald,SF,1,7.4,te
Greg Olsen,CAR,1,7.3,te
Jason Witten,DAL,1,6.6,te
Greg Olsen,CAR,2,18.2,te
Martellus Bennett,NE,2,17.4,te
Delanie Walker,TEN,2,14.3,te
Vance McDonald,SF,2,13.5,te
Jacob Tamme,ATL,2,13.5,te
Clive Walford,OAK,2,11,te
Trey Burton,PHI,2,10.9,te
Jordan Cameron,MIA,2,10.9,te
Dennis Pitta,BAL,2,10.2,te
Kyle Rudolph,MIN,2,9.1,te
Zach Miller,CHI,3,19.8,te
Coby Fleener,NO,3,16.9,te
Cameron Brate,TB,3,16.6,te
Jimmy Graham,SEA,3,16,te
Travis Kelce,KC,3,14.9,te
Kyle Rudolph,MIN,3,13,te
Hunter Henry,SD,3,7.6,te
Eric Ebron,DET,3,6.9,te
John Phillips,DEN,3,6.9,te
Richard Rodgers,GB,3,6.9,te
Jordan Reed,WAS,4,19.3,te
Greg Olsen,CAR,4,13.6,te
Hunter Henry,SD,4,12.1,te
Kyle Rudolph,MIN,4,11.5,te
Jimmy Graham,SEA,4,11.3,te
Martellus Bennett,NE,4,10.9,te
C.J. Fiedorowicz,HOU,4,10.8,te
Austin Hooper,ATL,4,10.2,te
Zach Miller,CHI,4,9.1,te
Travis Kelce,KC,4,8.3,te
Martellus Bennett,NE,5,24.7,te
Greg Olsen,CAR,5,18.1,te
Hunter Henry,SD,5,13.4,te
Delanie Walker,TEN,5,12.6,te
Dwayne Allen,IND,5,11,te
Rob Gronkowski,NE,5,10.9,te
Jesse James,PIT,5,10.3,te
Antonio Gates,SD,5,9,te
Crockett Gillmore,BAL,5,8.8,te
Connor Hamlett,CLE,5,7.7,te
Dan Bailey,DAL,1,13,k
Blair Walsh,MIN,1,13,k
Stephen Gostkowski,NE,1,11,k
Jason Myers,JAC,1,11,k
Nick Novak,HOU,1,11,k
Mike Nugent,CIN,1,11,k
Matt Bryant,ATL,1,10,k
Nick Folk,NYJ,1,10,k
Dustin Hopkins,WAS,1,10,k
Wil Lutz,NO,1,10,k
Graham Gano,CAR,2,16,k
Brandon McManus,DEN,2,14,k
Nick Folk,NYJ,2,13,k
Nick Novak,HOU,2,13,k
Cairo Santos,KC,2,12,k
Dustin Hopkins,WAS,2,11,k
Caleb Sturgis,PHI,2,11,k
Justin Tucker,BAL,2,11,k
Josh Brown,NYG,2,10,k
Chandler Catanzaro,ARI,2,10,k
Dustin Hopkins,WAS,3,17,k
Steve Hauschka,SEA,3,13,k
Justin Tucker,BAL,3,13,k
Mason Crosby,GB,3,10,k
Josh Lambo,SD,3,10,k
Cody Parkey,CLE,3,10,k
Caleb Sturgis,PHI,3,10,k
Josh Brown,NYG,3,9,k
Matt Bryant,ATL,3,9,k
Dan Carpenter,BUF,3,9,k
Mike Nugent,CIN,4,16,k
Matt Bryant,ATL,4,12,k
Jason Myers,JAC,4,12,k
Dan Carpenter,BUF,4,10,k
Josh Lambo,SD,4,10,k
Steve Hauschka,SEA,4,9,k
Brandon McManus,DEN,4,9,k
Nick Novak,HOU,4,9,k
Adam Vinatieri,IND,4,9,k
Cody Parkey,CLE,4,8,k
Adam Vinatieri,IND,5,17,k
Sebastian Janikowski,OAK,5,14,k
Greg Zuerlein,LAR,5,13,k
Connor Barth,CHI,5,11,k
Matt Bryant,ATL,5,11,k
Mason Crosby,GB,5,11,k
Caleb Sturgis,PHI,5,11,k
Josh Brown,NYG,5,10,k
Brandon McManus,DEN,5,10,k
Roberto Aguayo,TB,5,9,k
Minnesota Vikings,,1,17,def
New York Jets,,1,8,def
Houston Texans,,1,6,def
Philadelphia Eagles,,1,6,def
Buffalo Bills,,1,5,def
Carolina Panthers,,1,5,def
Seattle Seahawks,,1,5,def
Miami Dolphins,,1,5,def
Arizona Cardinals,,1,4,def
Green Bay Packers,,1,4,def
Denver Broncos,,2,19,def
Arizona Cardinals,,2,14,def
Carolina Panthers,,2,11,def
Buffalo Bills,,2,8,def
Chicago Bears,,2,8,def
Minnesota Vikings,,2,8,def
Houston Texans,,2,7,def
Baltimore Ravens,,2,7,def
Philadelphia Eagles,,2,6,def
Detroit Lions,,2,6,def
Kansas City Chiefs,,3,20,def
Minnesota Vikings,,3,19,def
Buffalo Bills,,3,16,def
Atlanta Falcons,,3,10,def
San Diego Chargers,,3,10,def
Los Angeles Rams,,3,10,def
Cleveland Browns,,3,10,def
Tampa Bay Buccaneers,,3,9,def
Arizona Cardinals,,3,7,def
Baltimore Ravens,,3,7,def
Carolina Panthers,,4,10,def
Atlanta Falcons,,4,9,def
Houston Texans,,4,8,def
Los Angeles Rams,,4,8,def
Denver Broncos,,4,8,def
Detroit Lions,,4,8,def
Jacksonville Jaguars,,4,7,def
Seattle Seahawks,,4,7,def
Cincinnati Bengals,,4,7,def
Pittsburgh Steelers,,4,6,def
Buffalo Bills,,5,13,def
Arizona Cardinals,,5,12,def
Minnesota Vikings,,5,11,def
Washington Redskins,,5,10,def
Tennessee Titans,,5,8,def
Atlanta Falcons,,5,7,def
Miami Dolphins,,5,6,def
Oakland Raiders,,5,6,def
Philadelphia Eagles,,5,5,def
Green Bay Packers,,5,5,def
